Resume_ID,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Resume_Hash_ID,skills_list,skills_count,skills_lower,sentiment_score,sentiment_label,vader_compound,textblob_polarity,textblob_subjectivity,variant_type,skills_original,skills_variant,sentiment_score_variant,sentiment_label_variant,vader_compound_variant,textblob_polarity_variant,textblob_subjectivity_variant,sentiment_delta,sentiment_drift_flag,score_tfidf,score_bm25,rank_tfidf,percentile_tfidf,rank_bm25,percentile_bm25
3,"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,71766.0,7,70.0,4e07408562be,['Ethical Hacking' 'Cybersecurity' 'Linux'],3,"ethical hacking, cybersecurity, linux",0.38636000000000004,positive,0.5106,0.2,0.6,control,"Ethical Hacking, Cybersecurity, Linux","Ethical Hacking, Cybersecurity, Linux",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.14063861326770905,2.293027864442196,150,0.8607843137254902,474,0.6168627450980392
3,"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,71766.0,7,70.0,4e07408562be,['Ethical Hacking' 'Cybersecurity' 'Linux'],3,"ethical hacking, cybersecurity, linux",0.38636000000000004,positive,0.5106,0.2,0.6,phrasing,"Ethical Hacking, Cybersecurity, Linux","ethical hacking skills, cybersecurity expertise, Linux OS",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.06523766403839952,3.4775132879775477,750,0.40784313725490196,266,0.7850980392156863
3,"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,71766.0,7,70.0,4e07408562be,['Ethical Hacking' 'Cybersecurity' 'Linux'],3,"ethical hacking, cybersecurity, linux",0.38636000000000004,positive,0.5106,0.2,0.6,abbreviation,"Ethical Hacking, Cybersecurity, Linux","White Hat Hacking, Cyber Security, GNU/Linux",0.20400000000000001,positive,0.34,0.0,0.0,-0.18236000000000002,True,0.0633875340184544,3.4803427234003825,774,0.39176470588235296,264,0.7933333333333333
3,"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,71766.0,7,70.0,4e07408562be,['Ethical Hacking' 'Cybersecurity' 'Linux'],3,"ethical hacking, cybersecurity, linux",0.38636000000000004,positive,0.5106,0.2,0.6,word_order,"Ethical Hacking, Cybersecurity, Linux","Ethical Hacking, Cybersecurity, Linux",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.14063861326770905,2.293027864442196,150,0.8607843137254902,474,0.6168627450980392
3,"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,71766.0,7,70.0,4e07408562be,['Ethical Hacking' 'Cybersecurity' 'Linux'],3,"ethical hacking, cybersecurity, linux",0.38636000000000004,positive,0.5106,0.2,0.6,placement,"Ethical Hacking, Cybersecurity, Linux","Core Competencies: Ethical Hacking, Cybersecurity, Linux. Demonstrated expertise in each area.",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.03698091911211488,0.9103568279061285,950,0.25372549019607843,787,0.37529411764705883
4,"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,Hire,46848.0,0,95.0,4b227777d4dd,['Python' 'Pytorch' 'TensorFlow'],3,"python, pytorch, tensorflow",0.0,neutral,0.0,0.0,0.0,control,"Python, Pytorch, TensorFlow","Python, Pytorch, TensorFlow",0.0,neutral,0.0,0.0,0.0,0.0,False,0.0741619128489402,1.0107917507075959,640,0.4875486381322957,921,0.27704280155642025
4,"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,Hire,46848.0,0,95.0,4b227777d4dd,['Python' 'Pytorch' 'TensorFlow'],3,"python, pytorch, tensorflow",0.0,neutral,0.0,0.0,0.0,phrasing,"Python, Pytorch, TensorFlow","Python scripting, PyTorch library, TensorFlow toolkit",0.0,neutral,0.0,0.0,0.0,0.0,False,0.02482507873783086,0.6789762222674085,1151,0.10505836575875487,1078,0.14747081712062257
4,"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,Hire,46848.0,0,95.0,4b227777d4dd,['Python' 'Pytorch' 'TensorFlow'],3,"python, pytorch, tensorflow",0.0,neutral,0.0,0.0,0.0,abbreviation,"Python, Pytorch, TensorFlow","Python lang, PyTorch (PT), TF",0.0,neutral,0.0,0.0,0.0,0.0,False,0.021263787758367875,0.7383755990301135,1189,0.07431906614785992,1068,0.16731517509727625
4,"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,Hire,46848.0,0,95.0,4b227777d4dd,['Python' 'Pytorch' 'TensorFlow'],3,"python, pytorch, tensorflow",0.0,neutral,0.0,0.0,0.0,word_order,"Python, Pytorch, TensorFlow","TensorFlow, Python, Pytorch",0.0,neutral,0.0,0.0,0.0,0.0,False,0.0741619128489402,0.8862143824450955,640,0.4875486381322957,989,0.2178988326848249
4,"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,Hire,46848.0,0,95.0,4b227777d4dd,['Python' 'Pytorch' 'TensorFlow'],3,"python, pytorch, tensorflow",0.0,neutral,0.0,0.0,0.0,placement,"Python, Pytorch, TensorFlow","Core Competencies: Python, Pytorch, TensorFlow. Demonstrated expertise in each area.",0.0,neutral,0.0,0.0,0.0,0.0,False,0.078458983365621,3.989579366696069,565,0.5595330739299611,190,0.8521400778210116
5,"SQL, React, Java",4,PhD,,Software Engineer,Hire,87441.0,9,100.0,ef2d127de37b,['SQL' 'React' 'Java'],3,"sql, react, java",0.0,neutral,0.0,0.0,0.0,control,"SQL, React, Java","SQL, React, Java",0.0,neutral,0.0,0.0,0.0,0.0,False,0.08589736081582439,2.222450561184668,85,0.8407725321888412,288,0.7437768240343348
5,"SQL, React, Java",4,PhD,,Software Engineer,Hire,87441.0,9,100.0,ef2d127de37b,['SQL' 'React' 'Java'],3,"sql, react, java",0.0,neutral,0.0,0.0,0.0,phrasing,"SQL, React, Java","SQL database management, React UI development, Java programming",0.0,neutral,0.0,0.0,0.0,0.0,False,0.06319459078553298,1.6382072891850514,547,0.5304721030042918,546,0.5244635193133047
5,"SQL, React, Java",4,PhD,,Software Engineer,Hire,87441.0,9,100.0,ef2d127de37b,['SQL' 'React' 'Java'],3,"sql, react, java",0.0,neutral,0.0,0.0,0.0,abbreviation,"SQL, React, Java","SQL (Structured Query Language), ReactJS, Java (JDK)",0.0,neutral,0.0,0.0,0.0,0.0,False,0.016982367150003938,0.0,963,0.1703862660944206,846,0.13776824034334764
5,"SQL, React, Java",4,PhD,,Software Engineer,Hire,87441.0,9,100.0,ef2d127de37b,['SQL' 'React' 'Java'],3,"sql, react, java",0.0,neutral,0.0,0.0,0.0,word_order,"SQL, React, Java","Java, React, SQL",0.0,neutral,0.0,0.0,0.0,0.0,False,0.08589736081582439,2.0271717599798973,85,0.8407725321888412,436,0.6167381974248927
5,"SQL, React, Java",4,PhD,,Software Engineer,Hire,87441.0,9,100.0,ef2d127de37b,['SQL' 'React' 'Java'],3,"sql, react, java",0.0,neutral,0.0,0.0,0.0,placement,"SQL, React, Java","Areas of Expertise — SQL, React, Java.",0.0,neutral,0.0,0.0,0.0,0.0,False,0.03015023984083109,1.5585977864933425,762,0.3369098712446352,568,0.5124463519313305
6,"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,47957.0,5,100.0,e7f6c011776e,['Cybersecurity' 'Networking' 'Linux' 'Ethical Hacking'],4,"cybersecurity, networking, linux, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,control,"Cybersecurity, Networking, Linux, Ethical Hacking","Cybersecurity, Networking, Linux, Ethical Hacking",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.1224568486472854,0.7381683200443483,309,0.6913725490196079,969,0.21098039215686273
6,"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,47957.0,5,100.0,e7f6c011776e,['Cybersecurity' 'Networking' 'Linux' 'Ethical Hacking'],4,"cybersecurity, networking, linux, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,phrasing,"Cybersecurity, Networking, Linux, Ethical Hacking","cybersecurity expertise, network administration, Linux administration, ethical hacking skills",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.2088401428957665,8.757281549139242,46,0.9635294117647059,23,0.9811764705882353
6,"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,47957.0,5,100.0,e7f6c011776e,['Cybersecurity' 'Networking' 'Linux' 'Ethical Hacking'],4,"cybersecurity, networking, linux, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,abbreviation,"Cybersecurity, Networking, Linux, Ethical Hacking","Cyber Security, Computer Networking, Linux (Unix-based), Ethical Hacking (CEH)",0.49448,positive,0.6908,0.2,0.6,0.10811999999999994,False,0.0661918906034429,3.4864299023267633,741,0.4168627450980392,257,0.7968627450980392
6,"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,47957.0,5,100.0,e7f6c011776e,['Cybersecurity' 'Networking' 'Linux' 'Ethical Hacking'],4,"cybersecurity, networking, linux, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,word_order,"Cybersecurity, Networking, Linux, Ethical Hacking","Linux, Ethical Hacking, Cybersecurity, Networking",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.1224568486472854,1.3583869329215106,309,0.6913725490196079,620,0.4988235294117647
6,"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,47957.0,5,100.0,e7f6c011776e,['Cybersecurity' 'Networking' 'Linux' 'Ethical Hacking'],4,"cybersecurity, networking, linux, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,placement,"Cybersecurity, Networking, Linux, Ethical Hacking","Core Competencies: Cybersecurity, Networking, Linux, Ethical Hacking. Demonstrated expertise in each area.",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.03657971565809501,0.46892469176214996,972,0.23098039215686275,1143,0.1007843137254902
7,"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,66208.0,9,100.0,7902699be42c,['Networking' 'Cybersecurity' 'Ethical Hacking'],3,"networking, cybersecurity, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,control,"Networking, Cybersecurity, Ethical Hacking","Networking, Cybersecurity, Ethical Hacking",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.11166197721473509,0.8041265006715685,511,0.5847058823529412,895,0.27215686274509804
7,"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,66208.0,9,100.0,7902699be42c,['Networking' 'Cybersecurity' 'Ethical Hacking'],3,"networking, cybersecurity, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,phrasing,"Networking, Cybersecurity, Ethical Hacking","network administration, cybersecurity expertise, ethical hacking skills",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.20346547116155694,7.982530311912772,50,0.9607843137254902,33,0.9741176470588235
7,"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,66208.0,9,100.0,7902699be42c,['Networking' 'Cybersecurity' 'Ethical Hacking'],3,"networking, cybersecurity, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,abbreviation,"Networking, Cybersecurity, Ethical Hacking","Net Admin, InfoSec, Ethical Hacking (CEH)",0.34636,positive,0.5106,0.1,0.3,-0.040000000000000036,False,0.017755116923586896,0.6822102731630961,1173,0.08,1049,0.17215686274509803
7,"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,66208.0,9,100.0,7902699be42c,['Networking' 'Cybersecurity' 'Ethical Hacking'],3,"networking, cybersecurity, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,word_order,"Networking, Cybersecurity, Ethical Hacking","Networking, Cybersecurity, Ethical Hacking",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.11166197721473509,0.8041265006715685,511,0.5847058823529412,895,0.27215686274509804
7,"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,66208.0,9,100.0,7902699be42c,['Networking' 'Cybersecurity' 'Ethical Hacking'],3,"networking, cybersecurity, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,placement,"Networking, Cybersecurity, Ethical Hacking","Key Skills: Networking, Cybersecurity, Ethical Hacking. Proficient in all listed areas.",0.34636,positive,0.5106,0.1,0.8,-0.040000000000000036,False,0.030775338279998225,0.49470188059825626,1037,0.18509803921568627,1125,0.11176470588235295
8,"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,Hire,103006.0,7,90.0,2c624232cdd2,['TensorFlow' 'Pytorch' 'NLP'],3,"tensorflow, pytorch, nlp",0.0,neutral,0.0,0.0,0.0,control,"TensorFlow, Pytorch, NLP","TensorFlow, Pytorch, NLP",0.0,neutral,0.0,0.0,0.0,0.0,False,0.07397598894537599,1.8970061331526913,680,0.4501945525291829,682,0.4626459143968872
8,"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,Hire,103006.0,7,90.0,2c624232cdd2,['TensorFlow' 'Pytorch' 'NLP'],3,"tensorflow, pytorch, nlp",0.0,neutral,0.0,0.0,0.0,phrasing,"TensorFlow, Pytorch, NLP","TensorFlow framework, PyTorch deep learning, NLP techniques",0.0,neutral,0.0,0.0,0.4,0.0,False,0.19633229251275952,5.060830869842992,42,0.9665369649805448,112,0.9101167315175097
8,"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,Hire,103006.0,7,90.0,2c624232cdd2,['TensorFlow' 'Pytorch' 'NLP'],3,"tensorflow, pytorch, nlp",0.0,neutral,0.0,0.0,0.0,abbreviation,"TensorFlow, Pytorch, NLP","TF, PyTorch (PT), Natural Language Processing (NLP)",0.25672,positive,0.3612,0.1,0.4,0.25672,True,0.13292002278241524,2.992678053958296,114,0.9108949416342412,399,0.6836575875486381
8,"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,Hire,103006.0,7,90.0,2c624232cdd2,['TensorFlow' 'Pytorch' 'NLP'],3,"tensorflow, pytorch, nlp",0.0,neutral,0.0,0.0,0.0,word_order,"TensorFlow, Pytorch, NLP","TensorFlow, NLP, Pytorch",0.0,neutral,0.0,0.0,0.0,0.0,False,0.07397598894537599,2.0030614639249107,680,0.4501945525291829,606,0.5221789883268483
8,"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,Hire,103006.0,7,90.0,2c624232cdd2,['TensorFlow' 'Pytorch' 'NLP'],3,"tensorflow, pytorch, nlp",0.0,neutral,0.0,0.0,0.0,placement,"TensorFlow, Pytorch, NLP","Areas of Expertise — TensorFlow, Pytorch, NLP.",0.0,neutral,0.0,0.0,0.0,0.0,False,0.07070210321543818,3.3733035839159258,819,0.36070038910505836,285,0.775875486381323
9,"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270.0,3,100.0,19581e27de7c,['Networking' 'Ethical Hacking'],2,"networking, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,control,"Networking, Ethical Hacking","Networking, Ethical Hacking",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.05484930102056555,0.8830284955513539,813,0.34784313725490196,822,0.3403921568627451
9,"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270.0,3,100.0,19581e27de7c,['Networking' 'Ethical Hacking'],2,"networking, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,phrasing,"Networking, Ethical Hacking","computer networking, ethical security testing",0.49448,positive,0.6908,0.2,0.6,0.10811999999999994,False,0.17417986822013953,0.7381683200443483,73,0.9403921568627451,969,0.21098039215686273
9,"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270.0,3,100.0,19581e27de7c,['Networking' 'Ethical Hacking'],2,"networking, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,abbreviation,"Networking, Ethical Hacking","Computer Networking, Ethical Hacking (CEH)",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.02546923020052887,0.7381683200443483,1099,0.1376470588235294,969,0.21098039215686273
9,"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270.0,3,100.0,19581e27de7c,['Networking' 'Ethical Hacking'],2,"networking, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,word_order,"Networking, Ethical Hacking","Ethical Hacking, Networking",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.05484930102056555,1.6249605099311704,813,0.34784313725490196,549,0.5623529411764706
9,"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270.0,3,100.0,19581e27de7c,['Networking' 'Ethical Hacking'],2,"networking, ethical hacking",0.38636000000000004,positive,0.5106,0.2,0.6,placement,"Networking, Ethical Hacking","Core Competencies: Networking, Ethical Hacking. Demonstrated expertise in each area.",0.38636000000000004,positive,0.5106,0.2,0.6,0.0,False,0.012776836446818866,0.5234779059838405,1216,0.04627450980392157,1112,0.12549019607843137
10,"Python, TensorFlow, Pytorch, NLP",0,M.Tech,AWS Certified,AI Researcher,Reject,60579.0,1,35.0,4a44dc153642,['Python' 'TensorFlow' 'Pytorch' 'NLP'],4,"python, tensorflow, pytorch, nlp",0.0,neutral,0.0,0.0,0.0,control,"Python, TensorFlow, Pytorch, NLP","Python, TensorFlow, Pytorch, NLP",0.0,neutral,0.0,0.0,0.0,0.0,False,0.0856889095145274,1.7151384877720603,352,0.6595330739299611,753,0.39455252918287936
10,"Python, TensorFlow, Pytorch, NLP",0,M.Tech,AWS Certified,AI Researcher,Reject,60579.0,1,35.0,4a44dc153642,['Python' 'TensorFlow' 'Pytorch' 'NLP'],4,"python, tensorflow, pytorch, nlp",0.0,neutral,0.0,0.0,0.0,phrasing,"Python, TensorFlow, Pytorch, NLP","Python development, TensorFlow library, PyTorch library, NLP techniques",0.0,neutral,0.0,0.0,0.0,0.0,False,0.025990245472055473,0.5848745629745457,1104,0.14124513618677043,1119,0.11673151750972763
10,"Python, TensorFlow, Pytorch, NLP",0,M.Tech,AWS Certified,AI Researcher,Reject,60579.0,1,35.0,4a44dc153642,['Python' 'TensorFlow' 'Pytorch' 'NLP'],4,"python, tensorflow, pytorch, nlp",0.0,neutral,0.0,0.0,0.0,abbreviation,"Python, TensorFlow, Pytorch, NLP","Python lang, TF, PT, Natural Language Processing (NLP)",0.25672,positive,0.3612,0.1,0.4,0.25672,True,0.11755477334189683,3.3701698240079527,213,0.8319066147859923,294,0.7642023346303501
10,"Python, TensorFlow, Pytorch, NLP",0,M.Tech,AWS Certified,AI Researcher,Reject,60579.0,1,35.0,4a44dc153642,['Python' 'TensorFlow' 'Pytorch' 'NLP'],4,"python, tensorflow, pytorch, nlp",0.0,neutral,0.0,0.0,0.0,word_order,"Python, TensorFlow, Pytorch, NLP","Pytorch, TensorFlow, Python, NLP",0.0,neutral,0.0,0.0,0.0,0.0,False,0.0856889095145274,1.7151384877720603,352,0.6595330739299611,753,0.39455252918287936
10,"Python, TensorFlow, Pytorch, NLP",0,M.Tech,AWS Certified,AI Researcher,Reject,60579.0,1,35.0,4a44dc153642,['Python' 'TensorFlow' 'Pytorch' 'NLP'],4,"python, tensorflow, pytorch, nlp",0.0,neutral,0.0,0.0,0.0,placement,"Python, TensorFlow, Pytorch, NLP","Technical Proficiencies: Python, TensorFlow, Pytorch, NLP.",0.0,neutral,0.0,0.0,0.1,0.0,False,0.03404179703627354,1.4391863643020808,1055,0.17470817120622567,831,0.35136186770428013
11,"SQL, Java, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,88945.0,7,70.0,4fc82b26aecb,['SQL' 'Java' 'C++'],3,"sql, java, c++",0.0,neutral,0.0,0.0,0.0,control,"SQL, Java, C++","SQL, Java, C++",0.0,neutral,0.0,0.0,0.0,0.0,False,0.06714105588083441,2.037491349056538,443,0.5824034334763949,402,0.6416309012875536
11,"SQL, Java, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,88945.0,7,70.0,4fc82b26aecb,['SQL' 'Java' 'C++'],3,"sql, java, c++",0.0,neutral,0.0,0.0,0.0,phrasing,"SQL, Java, C++","SQL querying, Java application development, C++ programming",0.0,neutral,0.0,0.0,0.0,0.0,False,0.0597498597752444,1.7605416701425909,584,0.4978540772532189,519,0.5502145922746781
11,"SQL, Java, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,88945.0,7,70.0,4fc82b26aecb,['SQL' 'Java' 'C++'],3,"sql, java, c++",0.0,neutral,0.0,0.0,0.0,abbreviation,"SQL, Java, C++","SQL (Structured Query Language), Java (JDK), C/C++",0.0,neutral,0.0,0.0,0.0,0.0,False,0.01944599957503658,0.0,913,0.21373390557939914,846,0.13776824034334764
11,"SQL, Java, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,88945.0,7,70.0,4fc82b26aecb,['SQL' 'Java' 'C++'],3,"sql, java, c++",0.0,neutral,0.0,0.0,0.0,word_order,"SQL, Java, C++","Java, C++, SQL",0.0,neutral,0.0,0.0,0.0,0.0,False,0.06714105588083441,1.971042649094763,443,0.5824034334763949,470,0.5854077253218885
11,"SQL, Java, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,88945.0,7,70.0,4fc82b26aecb,['SQL' 'Java' 'C++'],3,"sql, java, c++",0.0,neutral,0.0,0.0,0.0,placement,"SQL, Java, C++","Areas of Expertise — SQL, Java, C++.",0.0,neutral,0.0,0.0,0.0,0.0,False,0.018878743623297313,1.428886456284588,932,0.19742489270386265,628,0.4613733905579399
